population_ID	species	environment_type	pesticide	modality	dose	repetition_ID	alive	dead	total
P35	IO	Non-cultivated	supreme	dose	32.5	r3	0	15	15
P35	IO	Non-cultivated	supreme	dose	130	r1	0	15	15
P35	IO	Non-cultivated	supreme	dose	130	r2	0	15	15
P35	IO	Non-cultivated	supreme	dose	130	r3	0	15	15
P56	MEAM1	Open field	plenum	control	0	r1	14	1	15
P56	MEAM1	Open field	plenum	control	0	r2	15	0	15
P56	MEAM1	Open field	plenum	control	0	r3	14	1	15
P56	MEAM1	Open field	plenum	control	0	r4	15	0	15
P56	MEAM1	Open field	plenum	dose	9.77	r1	14	0	14
P56	MEAM1	Open field	plenum	dose	9.77	r2	15	0	15
P56	MEAM1	Open field	plenum	dose	9.77	r3	13	2	15
P56	MEAM1	Open field	plenum	dose	9.77	r4	14	1	15
P56	MEAM1	Open field	plenum	dose	39.06	r1	11	4	15
P56	MEAM1	Open field	plenum	dose	39.06	r2	15	0	15
P56	MEAM1	Open field	plenum	dose	39.06	r3	13	2	15
P56	MEAM1	Open field	plenum	dose	39.06	r4	11	4	15
P56	MEAM1	Open field	plenum	dose	156.25	r1	9	6	15
P56	MEAM1	Open field	plenum	dose	156.25	r2	13	2	15
P56	MEAM1	Open field	plenum	dose	156.25	r3	15	0	15
P56	MEAM1	Open field	plenum	dose	156.25	r4	14	1	15
P56	MEAM1	Open field	plenum	dose	625	r1	7	8	15
P56	MEAM1	Open field	plenum	dose	625	r2	12	2	14
P56	MEAM1	Open field	plenum	dose	625	r3	11	1	12
P56	MEAM1	Open field	plenum	dose	625	r4	13	2	15
P56	MEAM1	Open field	plenum	dose	2500	r1	14	1	15
P56	MEAM1	Open field	plenum	dose	2500	r2	13	2	15
P56	MEAM1	Open field	plenum	dose	2500	r3	10	4	14
P56	MEAM1	Open field	plenum	dose	2500	r4	15	0	15
P56	MEAM1	Open field	plenum	dose	10000	r1	12	3	15
P56	MEAM1	Open field	plenum	dose	10000	r2	12	2	14
P56	MEAM1	Open field	plenum	dose	10000	r3	8	7	15
P56	MEAM1	Open field	plenum	dose	10000	r4	15	0	15
P55	MEAM1	Greenhouse	plenum	control	0	r1	13	2	15
P55	MEAM1	Greenhouse	plenum	control	0	r2	14	1	15
P55	MEAM1	Greenhouse	plenum	control	0	r3	13	2	15
P55	MEAM1	Greenhouse	plenum	control	0	r4	15	0	15
P55	MEAM1	Greenhouse	plenum	dose	9.77	r1	13	2	15
P55	MEAM1	Greenhouse	plenum	dose	9.77	r2	14	1	15
P55	MEAM1	Greenhouse	plenum	dose	9.77	r3	14	1	15
P55	MEAM1	Greenhouse	plenum	dose	9.77	r4	13	2	15
P55	MEAM1	Greenhouse	plenum	dose	39.06	r1	12	3	15
P55	MEAM1	Greenhouse	plenum	dose	39.06	r2	14	1	15
P55	MEAM1	Greenhouse	plenum	dose	39.06	r3	13	1	14
P55	MEAM1	Greenhouse	plenum	dose	39.06	r4	14	1	15
P55	MEAM1	Greenhouse	plenum	dose	156.25	r1	11	3	14
P55	MEAM1	Greenhouse	plenum	dose	156.25	r2	12	3	15
P55	MEAM1	Greenhouse	plenum	dose	156.25	r3	12	3	15
P55	MEAM1	Greenhouse	plenum	dose	156.25	r4	13	2	15
P55	MEAM1	Greenhouse	plenum	dose	625	r1	8	7	15
P55	MEAM1	Greenhouse	plenum	dose	625	r2	14	1	15
P55	MEAM1	Greenhouse	plenum	dose	625	r3	14	1	15
P55	MEAM1	Greenhouse	plenum	dose	625	r4	11	4	15
P55	MEAM1	Greenhouse	plenum	dose	2500	r1	14	1	15
P55	MEAM1	Greenhouse	plenum	dose	2500	r2	13	2	15
P55	MEAM1	Greenhouse	plenum	dose	2500	r3	10	4	14
P55	MEAM1	Greenhouse	plenum	dose	2500	r4	7	8	15
P55	MEAM1	Greenhouse	plenum	dose	10000	r1	4	11	15
P55	MEAM1	Greenhouse	plenum	dose	10000	r2	8	7	15
P55	MEAM1	Greenhouse	plenum	dose	10000	r3	5	10	15
P55	MEAM1	Greenhouse	plenum	dose	10000	r4	5	10	15
MEAM1	MEAM1	Laboratory	plenum	control	0	r1	12	3	15
MEAM1	MEAM1	Laboratory	plenum	control	0	r2	12	3	15
MEAM1	MEAM1	Laboratory	plenum	control	0	r3	14	1	15
MEAM1	MEAM1	Laboratory	plenum	control	0	r4	11	4	15
MEAM1	MEAM1	Laboratory	plenum	dose	2.44	r1	10	5	15
MEAM1	MEAM1	Laboratory	plenum	dose	2.44	r2	9	6	15
MEAM1	MEAM1	Laboratory	plenum	dose	2.44	r3	2	13	15
MEAM1	MEAM1	Laboratory	plenum	dose	2.44	r4	4	11	15
MEAM1	MEAM1	Laboratory	plenum	dose	9.77	r1	1	14	15
MEAM1	MEAM1	Laboratory	plenum	dose	9.77	r2	1	14	15
MEAM1	MEAM1	Laboratory	plenum	dose	9.77	r3	1	14	15
